DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
3/21/2010,1259332816,2221516.8,5040997.651
3/22/2010,1262666764,2250806.4,5640604.386
3/23/2010,1266008101,2253312,5649509.921
3/24/2010,1269167426,2280182.4,5452291.466
3/25/2010,1272152990,2223936,5210276.213
3/26/2010,1275327585,2226355.2,5400864.448
3/27/2010,1278317849,2223936,5215976.734
3/28/2010,1281324999,2233699.2,5242106.161
3/29/2010,1283961254,2219011.2,4858091.664
3/30/2010,1290098348,2228860.8,8366994.777
3/31/2010,1293587641,2253312,5745758.203
4/1/2010,1297633295,2253312,6308641.839
4/2/2010,1300591649,2228860.8,5190287.691
4/3/2010,1304298256,2280182.4,6002355.046
4/4/2010,1307079445,2253312,5037792.637
4/5/2010,1306516978,2314483.2,1774427.846
4/6/2010,1310423101,2255731.2,6169896.54
4/7/2010,1313782792,2204323.2,5565494.517
4/8/2010,1317527021,2238624,5985865.127
4/9/2010,1320520516,2219011.2,5214019.474
4/10/2010,1324100692,2231280,5813112.428
4/11/2010,1327302966,2236118.4,5439838.397
4/12/2010,1330512938,2204323.2,5416693.792
4/13/2010,1340765007,2253312,12510564.05
4/14/2010,1344389748,2299795.2,5949704.74
4/15/2010,1348409191,2231280,6255208.629
4/16/2010,1353012538,2228860.8,6835389.554
4/17/2010,1359185649,2617833.6,8850193.447
4/18/2010,1365578924,3278361.6,9808933.006
4/19/2010,1373164061,3425155.2,11067573.8
4/20/2010,1381978966,3523046.4,12291986.99
4/21/2010,1392066673,4208112,14150699.37
4/22/2010,1405325819,5382460.8,18385134.46
4/23/2010,1415773542,5529254.4,15613090.97
4/24/2010,1423578079,5529254.4,12962250.83
4/25/2010,1431414685,5529254.4,12998900.53
4/26/2010,1438108165,5896195.2,12209121.48
4/27/2010,1443653274,6361027.2,11522661.31
4/28/2010,1454396885,6361027.2,16720411.06
4/29/2010,1461794841,6361027.2,13367868.59
4/30/2010,1467833959,7266326.4,13264427.38
5/1/2010,1471863739,7143984,11176593.2
5/2/2010,1475301904,7364131.2,10803784.02
5/3/2010,1476924238,8587468.8,10218489.75
5/4/2010,1477944487,9810720,10828983.75
5/5/2010,1479769568,9835171.2,11668991
5/6/2010,1478142460,11400998.4,9788968.95
5/7/2010,1474906734,12281760,9056023.848
5/8/2010,1470050054,14263430.4,9406593.658
5/9/2010,1465415414,14336870.4,9710433.875
5/10/2010,1459592919,15437779.2,9620350.963
5/11/2010,1451600277,17786476.8,9790510.292
5/12/2010,1439498457,22630665.6,10514060.54
5/13/2010,1415972441,34251897.6,10807551.75
5/14/2010,1382924588,44527449.6,11546001.64
5/15/2010,1349943948,45016732.8,11973858.77
5/16/2010,1321273099,42570230.4,14000161.57
5/17/2010,1295977348,40368326.4,15160621.29
5/18/2010,1277384869,38411020.8,19848039.84
5/19/2010,1261002874,36698400,20200640.31
5/20/2010,1246108134,34741180.8,19826216.39
5/21/2010,1233012819,33028560,20017514.13
5/22/2010,1220780090,31316025.6,19186632.61
5/23/2010,1208306523,29848089.6,17438334.19
5/24/2010,1199304278,28380153.6,19441737.04
5/25/2010,1188401092,26912217.6,15922460.44
5/26/2010,1177872489,25688880,15188463.32
5/27/2010,1170080670,24294384,16496035.62
5/28/2010,1164620597,23095584,17644751.77
5/29/2010,1162511346,23022144,20915700.94
5/30/2010,1159714356,23120035.2,20322748.89
5/31/2010,1156915121,21994588.8,19180565.1
6/1/2010,1154999909,21921235.2,19994247.19
6/2/2010,1156216737,20648995.2,21860054.64
6/3/2010,1162340348,19327852.8,25438195.84
6/4/2010,1178054810,19376755.2,35089324.72
6/5/2010,1208132677,19425744,49492779.81
6/6/2010,1243183713,19450195.2,54497054.36
6/7/2010,1287165367,22875350.4,66885142.84
6/8/2010,1328435757,31316025.6,72722990.15
6/9/2010,1360734123,41102294.4,73390709.54
6/10/2010,1389969609,42814828.8,72037875.6
6/11/2010,1413839446,47952604.8,71868645.97
6/12/2010,1430043364,53090380.8,69312488.3
6/13/2010,1433777268,56760220.8,60592575
6/14/2010,1433575742,55781654.4,55610980.21
6/15/2010,1433777268,50643878.4,50730942.76
6/16/2010,1438108165,45506102.4,49796448.76
6/17/2010,1448413125,40857609.6,51202300
6/18/2010,1457587749,37921737.6,47002263.76
6/19/2010,1464817015,33028560,40196893.69
6/20/2010,1471459774,29848089.6,36493536.76
6/21/2010,1477331287,30582057.6,36319927.75
6/22/2010,1481369244,33762528,37810895.36
6/23/2010,1482360037,38411020.8,39529443.42
6/24/2010,1481369244,39634358.4,38687062.99
6/25/2010,1479769568,39878956.8,38283329.1
6/26/2010,1480175852,39878956.8,40392497.41
6/27/2010,1480972372,39878956.8,40780181.77
6/28/2010,1481369244,39878956.8,40337204.8
6/29/2010,1480369200,39878956.8,38902068.05
6/30/2010,1479163621,39878956.8,38657043.51
7/1/2010,1478351843,38655705.6,37914189.78
7/2/2010,1477133313,38655705.6,37437376.67
7/3/2010,1474699349,38655705.6,36221917.94
7/4/2010,1469449818,38655705.6,33406349.87
7/5/2010,1464414901,35719833.6,30695275.04
7/6/2010,1459993492,33273244.8,28746235.1
7/7/2010,1456591098,30582057.6,27205283.96
7/8/2010,1451202024,30582057.6,25138319.07
7/9/2010,1444243038,30582057.6,23671621.5
7/10/2010,1438899442,30582057.6,25228401.98
7/11/2010,1430819223,30582057.6,22509595.98
7/12/2010,1422595303,30582057.6,22354434.16
7/13/2010,1414028945,30582057.6,21995423.66
7/14/2010,1404938654,30582057.6,21451109.53
7/15/2010,1394748567,30582057.6,20287591.6
7/16/2010,1384065397,30582057.6,19682382.21
7/17/2010,1372772123,30337372.8,19044241.91
7/18/2010,1360734123,30582057.6,18491927.48
7/19/2010,1348792803,30582057.6,18648483.85
7/20/2010,1335248576,31316025.6,17732412.57
7/21/2010,1321273099,32539276.8,18594536.86
7/22/2010,1306516978,32294592,17589605.95
7/23/2010,1292294337,31560624,17319039.16
7/24/2010,1277576984,31560624,16801392.71
7/25/2010,1262115090,31560624,16010977.55
7/26/2010,1247018294,31071340.8,15913530.44
7/27/2010,1232474171,30337372.8,15741144.73
7/28/2010,1218447431,30092688,16159117.7
7/29/2010,1204064660,29603404.8,15251364.77
7/30/2010,1189303074,29603404.8,14775677.09
7/31/2010,1175740567,28869436.8,15313434.39
8/1/2010,1161458805,28869436.8,14587780.09
8/2/2010,1146835505,28869436.8,14178737.12
8/3/2010,1133589250,27646185.6,14400005.41
8/4/2010,1120834289,27156816,14286043.93
